Pregunta,Respuesta
[Cortes Generales - Funcionamiento] ¿Quién puede convocar el Pleno a solicitud de los miembros de la Cámara si no es de oficio por el Presidente?,<b>A solicitud de al menos 2 Grupos Parlamentarios o de 1/5 de los miembros de la Cámara</b>
[Cortes Generales - Funcionamiento] ¿Qué materias quedan excluidas de la delegación de aprobación en Comisiones Legislativas Permanentes?,<b>La reforma constitucional, las cuestiones internacionales, las leyes orgánicas y de bases, y los Presupuestos Generales del Estado</b>
[Cortes Generales - Diputación Permanente] ¿Cuál es el número mínimo de miembros que compone la Diputación Permanente de cada Cámara?,<b>21</b>
[Cortes Generales - Incompatibilidades] ¿En qué artículo de la Constitución Española se tasan las causas de inelegibilidad e incompatibilidad de diputados y senadores?,<b>Artículo 70</b>
[Cortes Generales - Incompatibilidades] ¿Es posible acumular el acta de una Asamblea de Comunidad Autónoma con la de Diputado al Congreso?,<b>No (es incompatible)</b>
[Cortes Generales - Estatuto] ¿En qué artículo de la Constitución Española se regula la inviolabilidad e inmunidad de diputados y senadores?,<b>Artículo 71</b>
[Cortes Generales - Estatuto] ¿En qué único caso penal pueden ser detenidos los diputados y senadores durante su mandato?,<b>En caso de flagrante delito</b>
[Cortes Generales - Estatuto] ¿Qué órgano judicial es competente para instruir y juzgar las causas penales contra diputados y senadores?,<b>La Sala de lo Penal del Tribunal Supremo</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué mayoría parlamentaria se requiere para la aprobación de las leyes ordinarias?,<b>Mayoría simple</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué mayoría parlamentaria se requiere para la aprobación, modificación o derogación de las leyes orgánicas?,<b>Mayoría absoluta del Pleno del Congreso, en una votación final sobre el conjunto del proyecto</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué materias están expresamente reservadas a Ley Orgánica según el artículo 81 de la Constitución Española?,<b>Las relativas al desarrollo de los derechos fundamentales y las libertades públicas, las que aprueben los Estatutos de Autonomía, el régimen electoral general y las demás previstas en la Constitución</b>
[Cortes Generales - Elaboración de Leyes] ¿Cómo se denomina el instrumento normativo de delegación legislativa si su finalidad es elaborar un texto articulado?,<b>Ley de bases</b>
[Cortes Generales - Elaboración de Leyes] ¿Cómo se denomina el instrumento normativo de delegación legislativa si su finalidad es refundir varios textos legales en uno solo?,<b>Ley ordinaria</b>
[Cortes Generales - Elaboración de Leyes] ¿En qué casos extraordinarios puede el Gobierno dictar disposiciones legislativas provisionales con rango de Ley (Decretos-leyes)?,<b>En situaciones de extraordinaria y urgente necesidad</b>
[Cortes Generales - Elaboración de Leyes] ¿De qué plazo dispone el Congreso de los Diputados para convalidar o derogar un Decreto-ley promulgado por el Gobierno?,<b>30 días desde su promulgación</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué materias tienen prohibido regular los Decretos-leyes?,<b>Las instituciones fundamentales del Estado, los derechos y libertades del Título I, el régimen autonómico y el régimen electoral general</b>
[Cortes Generales - Elaboración de Leyes] ¿En qué artículo de la Constitución Española se regula la iniciativa legislativa?,<b>Artículo 87</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué nombre recibe la iniciativa legislativa cuando proviene del Gobierno?,<b>Proyecto de Ley</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué nombre recibe la iniciativa legislativa cuando proviene del Congreso, del Senado, de las CCAA o de los ciudadanos?,<b>Proposición de Ley</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué requisitos de respaldo se exigen para presentar una Proposición de Ley en el Congreso de los Diputados?,<b>Al menos 15 diputados o el portavoz de un grupo parlamentario</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué requisitos de respaldo se exigen para presentar una Proposición de Ley en el Senado?,<b>Al menos 25 senadores o un grupo parlamentario</b>
[Cortes Generales - Elaboración de Leyes] ¿Cuántas firmas válidas se exigen para presentar una iniciativa legislativa popular?,<b>Al menos 500.000</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué materias están excluidas de la iniciativa legislativa popular?,<b>Materias reservadas a ley orgánica, cuestiones tributarias, asuntos internacionales y prerrogativa de gracia</b>
[Cortes Generales - Elaboración de Leyes] ¿De qué plazo de enmiendas se dispone tras publicarse una iniciativa legislativa en el Congreso?,<b>15 días</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué mayoría se requiere para aprobar una reforma constitucional por el procedimiento ordinario del artículo 167?,<b>Mayoría de 3/5</b>
[Cortes Generales - Elaboración de Leyes] ¿De qué plazo ordinario dispone el Senado para vetar o introducir enmiendas a un proyecto de ley?,<b>2 meses</b>
[Cortes Generales - Elaboración de Leyes] ¿Con qué mayoría debe aprobarse el veto de un proyecto de ley en el Senado?,<b>Mayoría absoluta</b>
[Cortes Generales - Elaboración de Leyes] ¿A cuántos días naturales se reduce el plazo del Senado para enmendar o vetar proyectos declarados urgentes?,<b>20 días naturales</b>
[Cortes Generales - Elaboración de Leyes] ¿Qué mayoría se requiere en el Congreso para levantar el veto del Senado tras la devolución del proyecto?,<b>Mayoría absoluta en la primera votación o una mayoría simple transcurridos 2 meses</b>
[Cortes Generales - Elaboración de Leyes] ¿De qué plazo dispone el Rey para sancionar las leyes aprobadas por las Cortes Generales?,<b>15 días</b>
[Cortes Generales - Elaboración de Leyes] ¿En qué plazo entra en vigor una ley por defecto si no se indica una fecha concreta en la misma?,<b>20 días después de su publicación en el Boletín Oficial del Estado</b>
[Cortes Generales - Tratados Internacionales] ¿Qué tipo de norma con rango de ley se requiere para autorizar la celebración de tratados por los que España ceda competencias constitucionales?,<b>Ley orgánica</b>
[Cortes Generales - Tratados Internacionales] ¿Para qué tratados internacionales se exige la autorización previa de las Cortes Generales?,<b>Políticos o militares, que afecten a la integridad territorial o derechos del Título I, obligaciones financieras de Hacienda, o que modifiquen, deroguen o requieran desarrollo de ley</b>
[Tribunal Constitucional] ¿En qué Título de la Constitución Española se regula el Tribunal Constitucional y qué artículos abarca?,<b>Título IX (artículos 159 a 165)</b>
[Tribunal Constitucional - Composición] ¿Por cuántos miembros está compuesto el Tribunal Constitucional y quién los nombra?,<b>12 miembros, nombrados por el Rey</b>
[Tribunal Constitucional - Composición] ¿Cómo se distribuye la propuesta de nombramiento de los 12 magistrados del Tribunal Constitucional?,<b>4 a propuesta del Congreso, 4 a propuesta del Senado, 2 a propuesta del Gobierno y 2 a propuesta del Consejo General del Poder Judicial</b>
[Tribunal Constitucional - Composición] ¿Qué mayoría parlamentaria se requiere en el Congreso o el Senado para proponer Magistrados del Tribunal Constitucional?,<b>Mayoría de 3/5</b>
[Tribunal Constitucional - Composición] ¿Por qué período de tiempo son nombrados los miembros del Tribunal Constitucional?,<b>9 años</b>
[Tribunal Constitucional - Composición] ¿Cada cuántos años y en qué proporción se renueva de forma parcial el Tribunal Constitucional?,<b>Por terceras partes cada 3 años</b>
[Tribunal Constitucional - Composición] ¿Qué requisitos de experiencia profesional se exigen para ser nombrado Magistrado del Tribunal Constitucional?,<b>Ser jurista de reconocida competencia con más de 15 años de ejercicio profesional o en activo</b>
[Tribunal Constitucional - Composición] ¿Cuál es la única excepción para que un Magistrado del Tribunal Constitucional sea propuesto para otro período inmediato?,<b>Que hubiera ocupado el cargo por un plazo no superior a 3 años</b>
[Tribunal Constitucional - Composición] ¿Por cuánto tiempo es elegido el Presidente del Tribunal Constitucional y cuántas veces es reelegible?,<b>3 años, reelegible por una sola vez</b>
[Tribunal Constitucional - Funcionamiento] ¿Qué quórum se precisa para la válida constitución del Pleno del Tribunal Constitucional?,<b>2/3 de los miembros</b>
[Tribunal Constitucional - Funcionamiento] ¿Por cuántos magistrados están compuestas las Salas del Tribunal Constitucional?,<b>6 magistrados</b>
[Tribunal Constitucional - Funcionamiento] ¿Qué quórum se precisa para la válida constitución de una Sala del Tribunal Constitucional?,<b>2/3 de los miembros (4 magistrados)</b>
[Tribunal Constitucional - Funcionamiento] ¿Por cuántos miembros están compuestas las Secciones del Tribunal Constitucional?,<b>Presidente (o sustituto) y 2 magistrados (total 3)</b>
[Tribunal Constitucional - Funcionamiento] ¿Qué quórum se requiere para la válida constitución de una Sección del Tribunal Constitucional?,<b>2 miembros, salvo discrepancia que precisará la de sus 3 miembros</b>
[Tribunal Constitucional - Atribuciones] ¿Quiénes están legitimados para interponer un Recurso de Inconstitucionalidad?,<b>El Presidente del Gobierno, el Defensor del Pueblo, 50 Diputados, 50 Senadores, los órganos colegiados ejecutivos y las Asambleas de las Comunidades Autónomas</b>
[Tribunal Constitucional - Atribuciones] ¿Qué artículos de la Constitución Española contienen los derechos cuya vulneración permite interponer un Recurso de Amparo?,<b>Artículos 14 al 29 y el 30.2</b>
[Tribunal Constitucional - Atribuciones] ¿Quiénes están legitimados para interponer el Recurso de Amparo?,<b>El Ministerio Fiscal, el Defensor del Pueblo y cualquier persona natural o jurídica con interés legítimo</b>
[Tribunal Constitucional - Atribuciones] ¿Quiénes pueden interponer el control previo de constitucionalidad de los Tratados Internacionales?,<b>El Gobierno, el Congreso o el Senado</b>
[Tribunal Constitucional - Sentencias] ¿Desde qué momento tienen valor de cosa juzgada las sentencias del Tribunal Constitucional?,<b>Desde el día siguiente de su publicación</b>
[Tribunal Constitucional - Sentencias] ¿De qué plazo disponen las partes para solicitar la aclaración de una sentencia del Tribunal Constitucional tras su notificación?,<b>2 días</b>
[Defensor del Pueblo] ¿En qué artículo de la Constitución Española y qué Ley Orgánica se regula la institución del Defensor del Pueblo?,<b>Artículo 54 y Ley Orgánica 3/1981, de 6 de abril</b>
[Defensor del Pueblo - Elección] ¿Por qué período de mandato es nombrado el Defensor del Pueblo?,<b>5 años</b>
[Defensor del Pueblo - Elección] ¿Qué plazo mínimo debe transcurrir entre la propuesta de candidato y la convocatoria del Pleno del Congreso para su elección?,<b>Término no inferior a 10 días</b>
[Defensor del Pueblo - Elección] ¿Qué mayoría se requiere en el Congreso para la designación del Defensor del Pueblo?,<b>Mayoría de 3/5 partes de los miembros</b>
[Defensor del Pueblo - Elección] ¿De qué plazo máximo y mayoría se dispone en el Senado para ratificar el nombramiento del Defensor del Pueblo?,<b>Plazo máximo de 20 días por mayoría de 3/5 partes</b>
[Defensor del Pueblo - Garantías] ¿Ante qué órgano judicial corresponde en exclusiva la instrucción y enjuiciamiento de las causas penales contra el Defensor del Pueblo?,<b>La Sala de lo Penal del Tribunal Supremo</b>
[Defensor del Pueblo - Procedimiento] ¿De qué plazo máximo se dispone para presentar quejas por escrito ante el Defensor del Pueblo?,<b>1 año, a partir del momento en que se tuviera conocimiento de los hechos</b>
[Defensor del Pueblo - Procedimiento] ¿De qué plazo máximo dispone la Administración para remitir informe escrito al Defensor del Pueblo sobre una queja?,<b>15 días</b>
[Defensor del Pueblo - Procedimiento] ¿De qué plazo disponen las autoridades y los funcionarios para responder por escrito al Defensor del Pueblo tras sus recomendaciones o sugerencias?,<b>Término no superior al de un mes</b>
